"INDIVIDUO","PLOT","ROW","COL","TIPO","GEN","PLANTA","geo_coordinates","Altura De Planta (cm)","Altura De Cápsulas","Número De Ramificações","Número De Plantas D","Número De Plantas M","Massa De Cápsula","Cápsulas","Massa De Grãos","Grãos - contagem","Grãos - Cor","Obs","Colheita","Florescimento Inicial","Florescimento Final","Severidade De Doenças","Acamamento","Cor Do grãos","Foto MMG","Massa MMG","RGB"
"1","1","1","1","DOURADA","G1","P1","","78","42","3",,,"4.78",,"3.76","content://com.android.externalstorage.documents/tree/primary%3AFieldBook/document/primary%3AFieldBook%2Fplot_data%2Fdados_lab%2FGr%C3%A3os%20-%20contagem%2F1_Gr%C3%A3os%20-%20contagem_1_2024-02-17-02-43-01.jpg","content://com.android.externalstorage.documents/tree/primary%3AFieldBook/document/primary%3AFieldBook%2Fplot_data%2Fdados_lab%2FGr%C3%A3os%20-%20Cor%2F1_Gr%C3%A3os%20-%20Cor_1_2024-02-17-02-43-09.jpg",,,,,,,,,,
"2","1","1","1","DOURADA","G1","P2","","82","37","3",,,"6.87","content://com.android.externalstorage.documents/tree/primary%3AFieldBook/document/primary%3AFieldBook%2Fplot_data%2Fdados_lab%2FC%C3%A1psulas%2F2_C%C3%A1psulas_1_2024-02-17-02-44-08.jpg","5.3","content://com.android.externalstorage.documents/tree/primary%3AFieldBook/document/primary%3AFieldBook%2Fplot_data%2Fdados_lab%2FGr%C3%A3os%20-%20contagem%2F2_Gr%C3%A3os%20-%20contagem_1_2024-02-17-02-54-00.jpg","content://com.android.externalstorage.documents/tree/primary%3AFieldBook/document/primary%3AFieldBook%2Fplot_data%2Fdados_lab%2FGr%C3%A3os%20-%20Cor%2F2_Gr%C3%A3os%20-%20Cor_1_2024-02-17-02-54-16.jpg",,,,,,,,,,
"3","1","1","1","DOURADA","G1","P3","","70","34","3",,,"3.33","content://com.android.externalstorage.documents/tree/primary%3AFieldBook/document/primary%3AFieldBook%2Fplot_data%2Fdados_lab%2FC%C3%A1psulas%2F3_C%C3%A1psulas_1_2024-02-17-02-45-30.jpg","2.66","content://com.android.externalstorage.documents/tree/primary%3AFieldBook/document/primary%3AFieldBook%2Fplot_data%2Fdados_lab%2FGr%C3%A3os%20-%20contagem%2F3_Gr%C3%A3os%20-%20contagem_1_2024-02-17-02-56-16.jpg","content://com.android.externalstorage.documents/tree/primary%3AFieldBook/document/primary%3AFieldBook%2Fplot_data%2Fdados_lab%2FGr%C3%A3os%20-%20Cor%2F3_Gr%C3%A3os%20-%20Cor_1_2024-02-17-02-56-27.jpg",,,,,,,,,,
"4","1","1","1","DOURADA","G1","P4","","68","40","2",,,"2.85",,"2.32","content://com.android.externalstorage.documents/tree/primary%3AFieldBook/document/primary%3AFieldBook%2Fplot_data%2Fdados_lab%2FGr%C3%A3os%20-%20contagem%2F4_Gr%C3%A3os%20-%20contagem_1_2024-02-17-03-04-40.jpg","content://com.android.externalstorage.documents/tree/primary%3AFieldBook/document/primary%3AFieldBook%2Fplot_data%2Fdados_lab%2FGr%C3%A3os%20-%20Cor%2F4_Gr%C3%A3os%20-%20Cor_1_2024-02-17-03-04-50.jpg",,,,,,,,,,
"5","1","1","1","DOURADA","G1","P5","","88","44","2",,,"5.19","content://com.android.externalstorage.documents/tree/primary%3AFieldBook/document/primary%3AFieldBook%2Fplot_data%2Fdados_lab%2FC%C3%A1psulas%2F5_C%C3%A1psulas_1_2024-02-17-03-03-43.jpg","3.91","content://com.android.externalstorage.documents/tree/primary%3AFieldBook/document/primary%3AFieldBook%2Fplot_data%2Fdados_lab%2FGr%C3%A3os%20-%20contagem%2F5_Gr%C3%A3os%20-%20contagem_1_2024-02-17-03-09-18.jpg","content://com.android.externalstorage.documents/tree/primary%3AFieldBook/document/primary%3AFieldBook%2Fplot_data%2Fdados_lab%2FGr%C3%A3os%20-%20Cor%2F5_Gr%C3%A3os%20-%20Cor_1_2024-02-17-03-09-49.jpg",,,,,,,,,,
"6","2","1","2","DOURADA","G3","P1","","75.5","38","4","2",,"8","content://com.android.externalstorage.documents/tree/primary%3AFieldBook/document/primary%3AFieldBook%2Fplot_data%2Fdados_lab%2FC%C3%A1psulas%2F6_C%C3%A1psulas_1_2023-12-16-10-57-06.jpg","3.97","content://com.android.externalstorage.documents/tree/primary%3AFieldBook/document/primary%3AFieldBook%2Fplot_data%2Fdados_lab%2FGr%C3%A3os%20-%20contagem%2F6_Gr%C3%A3os%20-%20contagem_1_2023-12-16-11-49-05.jpg","content://com.android.externalstorage.documents/tree/primary%3AFieldBook/document/primary%3AFieldBook%2Fplot_data%2Fdados_lab%2FGr%C3%A3os%20-%20Cor%2F6_Gr%C3%A3os%20-%20Cor_1_2023-12-16-11-49-19.jpg",,,,,,,,,,
"7","2","1","2","DOURADA","G3","P2","","74","43","3",,,"3.50","content://com.android.externalstorage.documents/tree/primary%3AFieldBook/document/primary%3AFieldBook%2Fplot_data%2Fdados_lab%2FC%C3%A1psulas%2F7_C%C3%A1psulas_1_2023-12-16-11-11-21.jpg","3","content://com.android.externalstorage.documents/tree/primary%3AFieldBook/document/primary%3AFieldBook%2Fplot_data%2Fdados_lab%2FGr%C3%A3os%20-%20contagem%2F7_Gr%C3%A3os%20-%20contagem_1_2023-12-16-11-54-31.jpg","content://com.android.externalstorage.documents/tree/primary%3AFieldBook/document/primary%3AFieldBook%2Fplot_data%2Fdados_lab%2FGr%C3%A3os%20-%20Cor%2F7_Gr%C3%A3os%20-%20Cor_1_2023-12-16-11-54-49.jpg",,,,,,,,,,
"8","2","1","2","DOURADA","G3","P3","",,,,,,,,,,,,,,,,,,,,
"9","2","1","2","DOURADA","G3","P4","",,,,,,,,,,,,,,,,,,,,
"10","2","1","2","DOURADA","G3","P5","",,,,,,,,,,,,,,,,,,,,
"11","3","1","3","DOURADA","G5","P1","","71","42","4",,,"4.6",,"3.7","content://com.android.externalstorage.documents/tree/primary%3AFieldBook/document/primary%3AFieldBook%2Fplot_data%2Fdados_lab%2FGr%C3%A3os%20-%20contagem%2F11_Gr%C3%A3os%20-%20contagem_1_2024-02-17-11-40-27.jpg","content://com.android.externalstorage.documents/tree/primary%3AFieldBook/document/primary%3AFieldBook%2Fplot_data%2Fdados_lab%2FGr%C3%A3os%20-%20Cor%2F11_Gr%C3%A3os%20-%20Cor_1_2024-02-17-11-41-05.jpg",,,,,,,,,,
"12","3","1","3","DOURADA","G5","P2","","76","45","5",,,"6.06","content://com.android.externalstorage.documents/tree/primary%3AFieldBook/document/primary%3AFieldBook%2Fplot_data%2Fdados_lab%2FC%C3%A1psulas%2F12_C%C3%A1psulas_1_2024-02-17-11-36-57.jpg","5.91","content://com.android.externalstorage.documents/tree/primary%3AFieldBook/document/primary%3AFieldBook%2Fplot_data%2Fdados_lab%2FGr%C3%A3os%20-%20contagem%2F12_Gr%C3%A3os%20-%20contagem_1_2024-02-17-11-41-59.jpg",,,,,,,,,,,
"13","3","1","3","DOURADA","G5","P3","","84","41","6",,,"11.53","content://com.android.externalstorage.documents/tree/primary%3AFieldBook/document/primary%3AFieldBook%2Fplot_data%2Fdados_lab%2FC%C3%A1psulas%2F13_C%C3%A1psulas_2_2024-02-17-11-37-27.jpg","9.05","content://com.android.externalstorage.documents/tree/primary%3AFieldBook/document/primary%3AFieldBook%2Fplot_data%2Fdados_lab%2FGr%C3%A3os%20-%20contagem%2F13_Gr%C3%A3os%20-%20contagem_1_2024-02-17-11-44-09.jpg","content://com.android.externalstorage.documents/tree/primary%3AFieldBook/document/primary%3AFieldBook%2Fplot_data%2Fdados_lab%2FGr%C3%A3os%20-%20Cor%2F13_Gr%C3%A3os%20-%20Cor_1_2024-02-17-11-44-27.jpg",,,,,,,,,,
"14","3","1","3","DOURADA","G5","P4","","81","42","5",,,"7.50","content://com.android.externalstorage.documents/tree/primary%3AFieldBook/document/primary%3AFieldBook%2Fplot_data%2Fdados_lab%2FC%C3%A1psulas%2F14_C%C3%A1psulas_1_2024-02-17-11-32-47.jpg","4.71","content://com.android.externalstorage.documents/tree/primary%3AFieldBook/document/primary%3AFieldBook%2Fplot_data%2Fdados_lab%2FGr%C3%A3os%20-%20contagem%2F14_Gr%C3%A3os%20-%20contagem_1_2024-02-17-11-45-35.jpg","content://com.android.externalstorage.documents/tree/primary%3AFieldBook/document/primary%3AFieldBook%2Fplot_data%2Fdados_lab%2FGr%C3%A3os%20-%20Cor%2F14_Gr%C3%A3os%20-%20Cor_1_2024-02-17-11-45-48.jpg",,,,,,,,,,
"15","3","1","3","DOURADA","G5","P5","","75","40","2",,,"3.94","content://com.android.externalstorage.documents/tree/primary%3AFieldBook/document/primary%3AFieldBook%2Fplot_data%2Fdados_lab%2FC%C3%A1psulas%2F15_C%C3%A1psulas_1_2024-02-17-11-34-07.jpg","3.03","content://com.android.externalstorage.documents/tree/primary%3AFieldBook/document/primary%3AFieldBook%2Fplot_data%2Fdados_lab%2FGr%C3%A3os%20-%20contagem%2F15_Gr%C3%A3os%20-%20contagem_1_2024-02-17-11-50-45.jpg","content://com.android.externalstorage.documents/tree/primary%3AFieldBook/document/primary%3AFieldBook%2Fplot_data%2Fdados_lab%2FGr%C3%A3os%20-%20Cor%2F15_Gr%C3%A3os%20-%20Cor_1_2024-02-17-11-51-06.jpg",,,,,,,,,,
"16","4","1","4","DOURADA","G6","P1","","74","42","1",,,"2.35","content://com.android.externalstorage.documents/tree/primary%3AFieldBook/document/primary%3AFieldBook%2Fplot_data%2Fdados_lab%2FC%C3%A1psulas%2F16_C%C3%A1psulas_1_2024-02-28-02-55-37.jpg","1.78","content://com.android.externalstorage.documents/tree/primary%3AFieldBook/document/primary%3AFieldBook%2Fplot_data%2Fdados_lab%2FGr%C3%A3os%20-%20contagem%2F16_Gr%C3%A3os%20-%20contagem_2_2024-02-28-03-10-07.jpg",,,,,,,,,,,
"17","4","1","4","DOURADA","G6","P2","","77","48","2",,,"4.66","content://com.android.externalstorage.documents/tree/primary%3AFieldBook/document/primary%3AFieldBook%2Fplot_data%2Fdados_lab%2FC%C3%A1psulas%2F17_C%C3%A1psulas_1_2024-02-28-02-57-01.jpg","3.53","content://com.android.externalstorage.documents/tree/primary%3AFieldBook/document/primary%3AFieldBook%2Fplot_data%2Fdados_lab%2FGr%C3%A3os%20-%20contagem%2F17_Gr%C3%A3os%20-%20contagem_1_2024-02-28-03-11-30.jpg",,,,,,,,,,,
"18","4","1","4","DOURADA","G6","P3","","78","41",,,,"2.09","content://com.android.externalstorage.documents/tree/primary%3AFieldBook/document/primary%3AFieldBook%2Fplot_data%2Fdados_lab%2FC%C3%A1psulas%2F18_C%C3%A1psulas_1_2024-02-28-02-58-15.jpg","1.22","content://com.android.externalstorage.documents/tree/primary%3AFieldBook/document/primary%3AFieldBook%2Fplot_data%2Fdados_lab%2FGr%C3%A3os%20-%20contagem%2F18_Gr%C3%A3os%20-%20contagem_1_2024-02-28-03-12-34.jpg",,,,,,,,,,,
"19","4","1","4","DOURADA","G6","P4","","70","57","3",,,"6.59","content://com.android.externalstorage.documents/tree/primary%3AFieldBook/document/primary%3AFieldBook%2Fplot_data%2Fdados_lab%2FC%C3%A1psulas%2F19_C%C3%A1psulas_2_2024-02-28-02-59-30.jpg","5.22","content://com.android.externalstorage.documents/tree/primary%3AFieldBook/document/primary%3AFieldBook%2Fplot_data%2Fdados_lab%2FGr%C3%A3os%20-%20contagem%2F19_Gr%C3%A3os%20-%20contagem_1_2024-02-28-03-13-33.jpg",,,,,,,,,,,
"20","4","1","4","DOURADA","G6","P5","","76","37","4",,,"7.88","content://com.android.externalstorage.documents/tree/primary%3AFieldBook/document/primary%3AFieldBook%2Fplot_data%2Fdados_lab%2FC%C3%A1psulas%2F20_C%C3%A1psulas_1_2024-02-28-03-00-38.jpg","6.15","content://com.android.externalstorage.documents/tree/primary%3AFieldBook/document/primary%3AFieldBook%2Fplot_data%2Fdados_lab%2FGr%C3%A3os%20-%20contagem%2F20_Gr%C3%A3os%20-%20contagem_1_2024-02-28-03-16-45.jpg",,,,,,,,,,,
"21","5","1","5","DOURADA","G7","P1","","70","43","4",,,"3.62","content://com.android.externalstorage.documents/tree/primary%3AFieldBook/document/primary%3AFieldBook%2Fplot_data%2Fdados_lab%2FC%C3%A1psulas%2F21_C%C3%A1psulas_1_2024-02-15-05-30-11.jpg","2.94","content://com.android.externalstorage.documents/tree/primary%3AFieldBook/document/primary%3AFieldBook%2Fplot_data%2Fdados_lab%2FGr%C3%A3os%20-%20contagem%2F21_Gr%C3%A3os%20-%20contagem_1_2024-02-15-05-38-35.jpg","content://com.android.externalstorage.documents/tree/primary%3AFieldBook/document/primary%3AFieldBook%2Fplot_data%2Fdados_lab%2FGr%C3%A3os%20-%20Cor%2F21_Gr%C3%A3os%20-%20Cor_1_2024-02-15-05-38-45.jpg",,,,,,,,,,
"22","5","1","5","DOURADA","G7","P2","","74","50","4",,,"2.36","content://com.android.externalstorage.documents/tree/primary%3AFieldBook/document/primary%3AFieldBook%2Fplot_data%2Fdados_lab%2FC%C3%A1psulas%2F22_C%C3%A1psulas_1_2024-02-15-05-30-46.jpg","1.14","content://com.android.externalstorage.documents/tree/primary%3AFieldBook/document/primary%3AFieldBook%2Fplot_data%2Fdados_lab%2FGr%C3%A3os%20-%20contagem%2F22_Gr%C3%A3os%20-%20contagem_1_2024-02-15-05-40-55.jpg","content://com.android.externalstorage.documents/tree/primary%3AFieldBook/document/primary%3AFieldBook%2Fplot_data%2Fdados_lab%2FGr%C3%A3os%20-%20Cor%2F22_Gr%C3%A3os%20-%20Cor_1_2024-02-15-05-41-20.jpg",,,,,,,,,,
"23","5","1","5","DOURADA","G7","P3","","75","47","3","14","1","5.25","content://com.android.externalstorage.documents/tree/primary%3AFieldBook/document/primary%3AFieldBook%2Fplot_data%2Fdados_lab%2FC%C3%A1psulas%2F23_C%C3%A1psulas_1_2024-02-15-05-31-21.jpg","4.21","content://com.android.externalstorage.documents/tree/primary%3AFieldBook/document/primary%3AFieldBook%2Fplot_data%2Fdados_lab%2FGr%C3%A3os%20-%20contagem%2F23_Gr%C3%A3os%20-%20contagem_1_2024-02-15-05-45-38.jpg","content://com.android.externalstorage.documents/tree/primary%3AFieldBook/document/primary%3AFieldBook%2Fplot_data%2Fdados_lab%2FGr%C3%A3os%20-%20Cor%2F23_Gr%C3%A3os%20-%20Cor_1_2024-02-15-05-49-12.jpg",,,,,,,,,,
"24","5","1","5","DOURADA","G7","P4","","82","38",,,,"4.49","content://com.android.externalstorage.documents/tree/primary%3AFieldBook/document/primary%3AFieldBook%2Fplot_data%2Fdados_lab%2FC%C3%A1psulas%2F24_C%C3%A1psulas_1_2024-02-15-05-34-53.jpg","3.05","content://com.android.externalstorage.documents/tree/primary%3AFieldBook/document/primary%3AFieldBook%2Fplot_data%2Fdados_lab%2FGr%C3%A3os%20-%20contagem%2F24_Gr%C3%A3os%20-%20contagem_1_2024-02-15-05-53-38.jpg","content://com.android.externalstorage.documents/tree/primary%3AFieldBook/document/primary%3AFieldBook%2Fplot_data%2Fdados_lab%2FGr%C3%A3os%20-%20Cor%2F24_Gr%C3%A3os%20-%20Cor_1_2024-02-15-05-54-15.jpg",,,,,,,,,,
"25","5","1","5","DOURADA","G7","P5","","81","42","2",,,"2.19","content://com.android.externalstorage.documents/tree/primary%3AFieldBook/document/primary%3AFieldBook%2Fplot_data%2Fdados_lab%2FC%C3%A1psulas%2F25_C%C3%A1psulas_1_2024-02-15-05-36-23.jpg","1.68","content://com.android.externalstorage.documents/tree/primary%3AFieldBook/document/primary%3AFieldBook%2Fplot_data%2Fdados_lab%2FGr%C3%A3os%20-%20contagem%2F25_Gr%C3%A3os%20-%20contagem_1_2024-02-15-05-55-57.jpg","content://com.android.externalstorage.documents/tree/primary%3AFieldBook/document/primary%3AFieldBook%2Fplot_data%2Fdados_lab%2FGr%C3%A3os%20-%20Cor%2F25_Gr%C3%A3os%20-%20Cor_1_2024-02-15-05-56-23.jpg",,,,,,,,,,
"26","6","1","6","DOURADA","G18","P1","","74","46","3",,,"6","content://com.android.externalstorage.documents/tree/primary%3AFieldBook/document/primary%3AFieldBook%2Fplot_data%2Fdados_lab%2FC%C3%A1psulas%2F26_C%C3%A1psulas_1_2024-02-27-03-57-28.jpg","4.77","content://com.android.externalstorage.documents/tree/primary%3AFieldBook/document/primary%3AFieldBook%2Fplot_data%2Fdados_lab%2FGr%C3%A3os%20-%20contagem%2F26_Gr%C3%A3os%20-%20contagem_1_2024-02-27-04-03-39.jpg","content://com.android.externalstorage.documents/tree/primary%3AFieldBook/document/primary%3AFieldBook%2Fplot_data%2Fdados_lab%2FGr%C3%A3os%20-%20Cor%2F26_Gr%C3%A3os%20-%20Cor_1_2024-02-27-04-03-56.jpg",,,,,,,,,,
"27","6","1","6","DOURADA","G18","P2","","77","42","4",,,"3.31","content://com.android.externalstorage.documents/tree/primary%3AFieldBook/document/primary%3AFieldBook%2Fplot_data%2Fdados_lab%2FC%C3%A1psulas%2F27_C%C3%A1psulas_1_2024-02-27-03-58-22.jpg","2.65","content://com.android.externalstorage.documents/tree/primary%3AFieldBook/document/primary%3AFieldBook%2Fplot_data%2Fdados_lab%2FGr%C3%A3os%20-%20contagem%2F27_Gr%C3%A3os%20-%20contagem_1_2024-02-27-04-05-14.jpg","content://com.android.externalstorage.documents/tree/primary%3AFieldBook/document/primary%3AFieldBook%2Fplot_data%2Fdados_lab%2FGr%C3%A3os%20-%20Cor%2F27_Gr%C3%A3os%20-%20Cor_1_2024-02-27-04-05-24.jpg",,,,,,,,,,
"28","6","1","6","DOURADA","G18","P3","","73","44","6",,,"9.52","content://com.android.externalstorage.documents/tree/primary%3AFieldBook/document/primary%3AFieldBook%2Fplot_data%2Fdados_lab%2FC%C3%A1psulas%2F28_C%C3%A1psulas_1_2024-02-27-04-01-27.jpg","7.43","content://com.android.externalstorage.documents/tree/primary%3AFieldBook/document/primary%3AFieldBook%2Fplot_data%2Fdados_lab%2FGr%C3%A3os%20-%20contagem%2F28_Gr%C3%A3os%20-%20contagem_1_2024-02-27-04-06-44.jpg","content://com.android.externalstorage.documents/tree/primary%3AFieldBook/document/primary%3AFieldBook%2Fplot_data%2Fdados_lab%2FGr%C3%A3os%20-%20Cor%2F28_Gr%C3%A3os%20-%20Cor_1_2024-02-27-04-06-56.jpg",,,,,,,,,,
"29","6","1","6","DOURADA","G18","P4","","73","38","3",,,"2.57","content://com.android.externalstorage.documents/tree/primary%3AFieldBook/document/primary%3AFieldBook%2Fplot_data%2Fdados_lab%2FC%C3%A1psulas%2F29_C%C3%A1psulas_1_2024-02-27-03-59-26.jpg","2.06","content://com.android.externalstorage.documents/tree/primary%3AFieldBook/document/primary%3AFieldBook%2Fplot_data%2Fdados_lab%2FGr%C3%A3os%20-%20contagem%2F29_Gr%C3%A3os%20-%20contagem_1_2024-02-27-04-07-53.jpg","content://com.android.externalstorage.documents/tree/primary%3AFieldBook/document/primary%3AFieldBook%2Fplot_data%2Fdados_lab%2FGr%C3%A3os%20-%20Cor%2F29_Gr%C3%A3os%20-%20Cor_1_2024-02-27-04-08-03.jpg",,,,,,,,,,
"30","6","1","6","DOURADA","G18","P5","","69","40","2",,,"1.93","content://com.android.externalstorage.documents/tree/primary%3AFieldBook/document/primary%3AFieldBook%2Fplot_data%2Fdados_lab%2FC%C3%A1psulas%2F30_C%C3%A1psulas_1_2024-02-27-04-02-20.jpg","1.49","content://com.android.externalstorage.documents/tree/primary%3AFieldBook/document/primary%3AFieldBook%2Fplot_data%2Fdados_lab%2FGr%C3%A3os%20-%20contagem%2F30_Gr%C3%A3os%20-%20contagem_1_2024-02-27-04-09-03.jpg","content://com.android.externalstorage.documents/tree/primary%3AFieldBook/document/primary%3AFieldBook%2Fplot_data%2Fdados_lab%2FGr%C3%A3os%20-%20Cor%2F30_Gr%C3%A3os%20-%20Cor_1_2024-02-27-04-09-16.jpg",,,,,,,,,,
"31","7","1","7","DOURADA","G19","P1","","80","43","2","11",,"1.68","content://com.android.externalstorage.documents/tree/primary%3AFieldBook/document/primary%3AFieldBook%2Fplot_data%2Fdados_lab%2FC%C3%A1psulas%2F31_C%C3%A1psulas_1_2023-12-20-05-12-58.jpg",".96","content://com.android.externalstorage.documents/tree/primary%3AFieldBook/document/primary%3AFieldBook%2Fplot_data%2Fdados_lab%2FGr%C3%A3os%20-%20contagem%2F31_Gr%C3%A3os%20-%20contagem_1_2023-12-20-05-17-36.jpg","content://com.android.externalstorage.documents/tree/primary%3AFieldBook/document/primary%3AFieldBook%2Fplot_data%2Fdados_lab%2FGr%C3%A3os%20-%20Cor%2F31_Gr%C3%A3os%20-%20Cor_1_2023-12-20-05-17-51.jpg",,,,,,,,,,
"32","7","1","7","DOURADA","G19","P2","","84","49","1",,,"1.37","content://com.android.externalstorage.documents/tree/primary%3AFieldBook/document/primary%3AFieldBook%2Fplot_data%2Fdados_lab%2FC%C3%A1psulas%2F32_C%C3%A1psulas_1_2023-12-20-05-22-34.jpg","0.96","content://com.android.externalstorage.documents/tree/primary%3AFieldBook/document/primary%3AFieldBook%2Fplot_data%2Fdados_lab%2FGr%C3%A3os%20-%20contagem%2F32_Gr%C3%A3os%20-%20contagem_1_2023-12-20-05-32-42.jpg","content://com.android.externalstorage.documents/tree/primary%3AFieldBook/document/primary%3AFieldBook%2Fplot_data%2Fdados_lab%2FGr%C3%A3os%20-%20Cor%2F32_Gr%C3%A3os%20-%20Cor_1_2023-12-20-05-32-58.jpg",,,,,,,,,,
"33","7","1","7","DOURADA","G19","P3","","85","43","5",,,"5.2","content://com.android.externalstorage.documents/tree/primary%3AFieldBook/document/primary%3AFieldBook%2Fplot_data%2Fdados_lab%2FC%C3%A1psulas%2F33_C%C3%A1psulas_1_2023-12-20-05-36-50.jpg","3.93","content://com.android.externalstorage.documents/tree/primary%3AFieldBook/document/primary%3AFieldBook%2Fplot_data%2Fdados_lab%2FGr%C3%A3os%20-%20contagem%2F33_Gr%C3%A3os%20-%20contagem_1_2023-12-20-05-43-41.jpg","content://com.android.externalstorage.documents/tree/primary%3AFieldBook/document/primary%3AFieldBook%2Fplot_data%2Fdados_lab%2FGr%C3%A3os%20-%20Cor%2F33_Gr%C3%A3os%20-%20Cor_1_2023-12-20-05-43-55.jpg",,,,,,,,,,
"34","7","1","7","DOURADA","G19","P4","","75","46","2",,,"1.35","content://com.android.externalstorage.documents/tree/primary%3AFieldBook/document/primary%3AFieldBook%2Fplot_data%2Fdados_lab%2FC%C3%A1psulas%2F34_C%C3%A1psulas_1_2023-12-20-05-50-15.jpg","1","content://com.android.externalstorage.documents/tree/primary%3AFieldBook/document/primary%3AFieldBook%2Fplot_data%2Fdados_lab%2FGr%C3%A3os%20-%20contagem%2F34_Gr%C3%A3os%20-%20contagem_1_2023-12-20-05-54-07.jpg","content://com.android.externalstorage.documents/tree/primary%3AFieldBook/document/primary%3AFieldBook%2Fplot_data%2Fdados_lab%2FGr%C3%A3os%20-%20Cor%2F34_Gr%C3%A3os%20-%20Cor_1_2023-12-20-05-54-17.jpg",,,,,,,,,,
"35","7","1","7","DOURADA","G19","P5","","77","40","4",,,"1.4","content://com.android.externalstorage.documents/tree/primary%3AFieldBook/document/primary%3AFieldBook%2Fplot_data%2Fdados_lab%2FC%C3%A1psulas%2F35_C%C3%A1psulas_1_2023-12-20-05-57-54.jpg","0.9","content://com.android.externalstorage.documents/tree/primary%3AFieldBook/document/primary%3AFieldBook%2Fplot_data%2Fdados_lab%2FGr%C3%A3os%20-%20contagem%2F35_Gr%C3%A3os%20-%20contagem_1_2023-12-20-06-00-44.jpg","content://com.android.externalstorage.documents/tree/primary%3AFieldBook/document/primary%3AFieldBook%2Fplot_data%2Fdados_lab%2FGr%C3%A3os%20-%20Cor%2F35_Gr%C3%A3os%20-%20Cor_1_2023-12-20-06-00-55.jpg",,,,,,,,,,
"36","8","1","8","DOURADA","G20","P1","","70","43","1","25",,"1","content://com.android.externalstorage.documents/tree/primary%3AFieldBook/document/primary%3AFieldBook%2Fplot_data%2Fdados_lab%2FC%C3%A1psulas%2F36_C%C3%A1psulas_1_2023-12-19-03-12-31.jpg","0.94","content://com.android.externalstorage.documents/tree/primary%3AFieldBook/document/primary%3AFieldBook%2Fplot_data%2Fdados_lab%2FGr%C3%A3os%20-%20contagem%2F36_Gr%C3%A3os%20-%20contagem_1_2023-12-19-03-26-57.jpg","content://com.android.externalstorage.documents/tree/primary%3AFieldBook/document/primary%3AFieldBook%2Fplot_data%2Fdados_lab%2FGr%C3%A3os%20-%20Cor%2F36_Gr%C3%A3os%20-%20Cor_1_2023-12-19-03-27-15.jpg",,,,,,,,,,
"37","8","1","8","DOURADA","G20","P2","","72","37","4",,,"0.9","content://com.android.externalstorage.documents/tree/primary%3AFieldBook/document/primary%3AFieldBook%2Fplot_data%2Fdados_lab%2FC%C3%A1psulas%2F37_C%C3%A1psulas_1_2023-12-19-03-14-11.jpg","0.66","content://com.android.externalstorage.documents/tree/primary%3AFieldBook/document/primary%3AFieldBook%2Fplot_data%2Fdados_lab%2FGr%C3%A3os%20-%20contagem%2F37_Gr%C3%A3os%20-%20contagem_1_2023-12-19-03-30-28.jpg","content://com.android.externalstorage.documents/tree/primary%3AFieldBook/document/primary%3AFieldBook%2Fplot_data%2Fdados_lab%2FGr%C3%A3os%20-%20Cor%2F37_Gr%C3%A3os%20-%20Cor_1_2023-12-19-03-30-37.jpg",,,,,,,,,,
"38","8","1","8","DOURADA","G20","P3","","73","42","2",,,"2.3","content://com.android.externalstorage.documents/tree/primary%3AFieldBook/document/primary%3AFieldBook%2Fplot_data%2Fdados_lab%2FC%C3%A1psulas%2F38_C%C3%A1psulas_1_2023-12-19-03-15-47.jpg","1.7","content://com.android.externalstorage.documents/tree/primary%3AFieldBook/document/primary%3AFieldBook%2Fplot_data%2Fdados_lab%2FGr%C3%A3os%20-%20contagem%2F38_Gr%C3%A3os%20-%20contagem_1_2023-12-19-03-35-53.jpg",,,,,,,,,,,
"39","8","1","8","DOURADA","G20","P4","",,,,,,"0.97","content://com.android.externalstorage.documents/tree/primary%3AFieldBook/document/primary%3AFieldBook%2Fplot_data%2Fdados_lab%2FC%C3%A1psulas%2F39_C%C3%A1psulas_1_2023-12-19-03-17-07.jpg","0.77","content://com.android.externalstorage.documents/tree/primary%3AFieldBook/document/primary%3AFieldBook%2Fplot_data%2Fdados_lab%2FGr%C3%A3os%20-%20contagem%2F39_Gr%C3%A3os%20-%20contagem_1_2023-12-19-03-38-12.jpg","content://com.android.externalstorage.documents/tree/primary%3AFieldBook/document/primary%3AFieldBook%2Fplot_data%2Fdados_lab%2FGr%C3%A3os%20-%20Cor%2F39_Gr%C3%A3os%20-%20Cor_1_2023-12-19-03-38-32.jpg",,,,,,,,,,
"40","8","1","8","DOURADA","G20","P5","","78","47","1",,,"2.8","content://com.android.externalstorage.documents/tree/primary%3AFieldBook/document/primary%3AFieldBook%2Fplot_data%2Fdados_lab%2FC%C3%A1psulas%2F40_C%C3%A1psulas_1_2023-12-19-03-18-47.jpg","2.65","content://com.android.externalstorage.documents/tree/primary%3AFieldBook/document/primary%3AFieldBook%2Fplot_data%2Fdados_lab%2FGr%C3%A3os%20-%20contagem%2F40_Gr%C3%A3os%20-%20contagem_1_2023-12-19-03-42-15.jpg","content://com.android.externalstorage.documents/tree/primary%3AFieldBook/document/primary%3AFieldBook%2Fplot_data%2Fdados_lab%2FGr%C3%A3os%20-%20Cor%2F40_Gr%C3%A3os%20-%20Cor_1_2023-12-19-03-42-26.jpg",,,,,,,,,,
