"INDIVIDUO","PLOT","ROW","COL","TIPO","GEN","PLANTA","geo_coordinates","Altura De Planta (cm)","Altura De Cápsulas","Número De Ramificações","Número De Plantas D","Número De Plantas M","Massa De Cápsula","Cápsulas","Massa De Grãos","Grãos - contagem","Grãos - Cor","Obs","Colheita","Florescimento Inicial","Florescimento Final","Severidade De Doenças","Acamamento","Cor Do grãos","Foto MMG","Massa MMG","RGB"
"107","22","2","7","DOURADA","G77","P2","","68","47","4",,,"5.09","content://com.android.externalstorage.documents/tree/primary%3AFieldBook/document/primary%3AFieldBook%2Fplot_data%2Fdados_lab%2FC%C3%A1psulas%2F107_C%C3%A1psulas_1_2024-02-28-03-38-40.jpg","4.01","content://com.android.externalstorage.documents/tree/primary%3AFieldBook/document/primary%3AFieldBook%2Fplot_data%2Fdados_lab%2FGr%C3%A3os%20-%20contagem%2F107_Gr%C3%A3os%20-%20contagem_1_2024-02-28-03-46-33.jpg",,,,,,,,,,,
"108","22","2","7","DOURADA","G77","P3","","74","45","2",,,"4.75","content://com.android.externalstorage.documents/tree/primary%3AFieldBook/document/primary%3AFieldBook%2Fplot_data%2Fdados_lab%2FC%C3%A1psulas%2F108_C%C3%A1psulas_1_2024-02-28-03-39-45.jpg","3.73","content://com.android.externalstorage.documents/tree/primary%3AFieldBook/document/primary%3AFieldBook%2Fplot_data%2Fdados_lab%2FGr%C3%A3os%20-%20contagem%2F108_Gr%C3%A3os%20-%20contagem_1_2024-02-28-03-48-13.jpg",,,,,,,,,,,
"109","22","2","7","DOURADA","G77","P4","","71","42","2",,,"2.91","content://com.android.externalstorage.documents/tree/primary%3AFieldBook/document/primary%3AFieldBook%2Fplot_data%2Fdados_lab%2FC%C3%A1psulas%2F109_C%C3%A1psulas_1_2024-02-28-03-41-33.jpg","2.21","content://com.android.externalstorage.documents/tree/primary%3AFieldBook/document/primary%3AFieldBook%2Fplot_data%2Fdados_lab%2FGr%C3%A3os%20-%20contagem%2F109_Gr%C3%A3os%20-%20contagem_1_2024-02-28-03-48-59.jpg",,,,,,,,,,,
"110","22","2","7","DOURADA","G77","P5","","73","44","1",,,"2.58","content://com.android.externalstorage.documents/tree/primary%3AFieldBook/document/primary%3AFieldBook%2Fplot_data%2Fdados_lab%2FC%C3%A1psulas%2F110_C%C3%A1psulas_1_2024-02-28-03-43-36.jpg","1.89","content://com.android.externalstorage.documents/tree/primary%3AFieldBook/document/primary%3AFieldBook%2Fplot_data%2Fdados_lab%2FGr%C3%A3os%20-%20contagem%2F110_Gr%C3%A3os%20-%20contagem_1_2024-02-28-03-49-54.jpg",,,,,,,,,,,
"111","23","2","8","DOURADA","G88","P1","","87","38","5",,,"10.1","content://com.android.externalstorage.documents/tree/primary%3AFieldBook/document/primary%3AFieldBook%2Fplot_data%2Fdados_lab%2FC%C3%A1psulas%2F111_C%C3%A1psulas_1_2024-01-29-12-56-11.jpg","7.86","content://com.android.externalstorage.documents/tree/primary%3AFieldBook/document/primary%3AFieldBook%2Fplot_data%2Fdados_lab%2FGr%C3%A3os%20-%20contagem%2F111_Gr%C3%A3os%20-%20contagem_1_2024-01-29-01-02-42.jpg","content://com.android.externalstorage.documents/tree/primary%3AFieldBook/document/primary%3AFieldBook%2Fplot_data%2Fdados_lab%2FGr%C3%A3os%20-%20Cor%2F111_Gr%C3%A3os%20-%20Cor_1_2024-01-29-01-02-54.jpg",,,,,,,,,,
"112","23","2","8","DOURADA","G88","P2","","70","46","2",,,"2.7","content://com.android.externalstorage.documents/tree/primary%3AFieldBook/document/primary%3AFieldBook%2Fplot_data%2Fdados_lab%2FC%C3%A1psulas%2F112_C%C3%A1psulas_1_2024-01-29-01-06-13.jpg","2.07","content://com.android.externalstorage.documents/tree/primary%3AFieldBook/document/primary%3AFieldBook%2Fplot_data%2Fdados_lab%2FGr%C3%A3os%20-%20contagem%2F112_Gr%C3%A3os%20-%20contagem_1_2024-01-29-01-09-23.jpg","content://com.android.externalstorage.documents/tree/primary%3AFieldBook/document/primary%3AFieldBook%2Fplot_data%2Fdados_lab%2FGr%C3%A3os%20-%20Cor%2F112_Gr%C3%A3os%20-%20Cor_1_2024-01-29-01-09-39.jpg",,,,,,,,,,
"113","23","2","8","DOURADA","G88","P3","","76","56","3",,,"1.19","content://com.android.externalstorage.documents/tree/primary%3AFieldBook/document/primary%3AFieldBook%2Fplot_data%2Fdados_lab%2FC%C3%A1psulas%2F113_C%C3%A1psulas_1_2024-01-29-01-11-55.jpg","0.88","content://com.android.externalstorage.documents/tree/primary%3AFieldBook/document/primary%3AFieldBook%2Fplot_data%2Fdados_lab%2FGr%C3%A3os%20-%20contagem%2F113_Gr%C3%A3os%20-%20contagem_1_2024-01-29-01-14-21.jpg","content://com.android.externalstorage.documents/tree/primary%3AFieldBook/document/primary%3AFieldBook%2Fplot_data%2Fdados_lab%2FGr%C3%A3os%20-%20Cor%2F113_Gr%C3%A3os%20-%20Cor_1_2024-01-29-01-14-31.jpg",,,,,,,,,,
"114","23","2","8","DOURADA","G88","P4","","78","65","4",,,"1.56","content://com.android.externalstorage.documents/tree/primary%3AFieldBook/document/primary%3AFieldBook%2Fplot_data%2Fdados_lab%2FC%C3%A1psulas%2F114_C%C3%A1psulas_1_2024-01-29-01-17-03.jpg","1.29","content://com.android.externalstorage.documents/tree/primary%3AFieldBook/document/primary%3AFieldBook%2Fplot_data%2Fdados_lab%2FGr%C3%A3os%20-%20contagem%2F114_Gr%C3%A3os%20-%20contagem_1_2024-01-29-01-19-51.jpg","content://com.android.externalstorage.documents/tree/primary%3AFieldBook/document/primary%3AFieldBook%2Fplot_data%2Fdados_lab%2FGr%C3%A3os%20-%20Cor%2F114_Gr%C3%A3os%20-%20Cor_1_2024-01-29-01-20-06.jpg",,,,,,,,,,
"115","23","2","8","DOURADA","G88","P5","","86","63","2",,,"3.78","content://com.android.externalstorage.documents/tree/primary%3AFieldBook/document/primary%3AFieldBook%2Fplot_data%2Fdados_lab%2FC%C3%A1psulas%2F115_C%C3%A1psulas_1_2024-01-29-01-23-28.jpg","2.944","content://com.android.externalstorage.documents/tree/primary%3AFieldBook/document/primary%3AFieldBook%2Fplot_data%2Fdados_lab%2FGr%C3%A3os%20-%20contagem%2F115_Gr%C3%A3os%20-%20contagem_1_2024-01-29-01-27-44.jpg","content://com.android.externalstorage.documents/tree/primary%3AFieldBook/document/primary%3AFieldBook%2Fplot_data%2Fdados_lab%2FGr%C3%A3os%20-%20Cor%2F115_Gr%C3%A3os%20-%20Cor_1_2024-01-29-01-27-59.jpg",,,,,,,,,,
"116","24","2","9","DOURADA","G90","P1","","76","42","3",,,"3.76","content://com.android.externalstorage.documents/tree/primary%3AFieldBook/document/primary%3AFieldBook%2Fplot_data%2Fdados_lab%2FC%C3%A1psulas%2F116_C%C3%A1psulas_1_2024-01-29-01-50-25.jpg","2.93","content://com.android.externalstorage.documents/tree/primary%3AFieldBook/document/primary%3AFieldBook%2Fplot_data%2Fdados_lab%2FGr%C3%A3os%20-%20contagem%2F116_Gr%C3%A3os%20-%20contagem_1_2024-01-29-02-30-59.jpg","content://com.android.externalstorage.documents/tree/primary%3AFieldBook/document/primary%3AFieldBook%2Fplot_data%2Fdados_lab%2FGr%C3%A3os%20-%20Cor%2F116_Gr%C3%A3os%20-%20Cor_1_2024-01-29-02-31-10.jpg",,,,,,,,,,
